视频标题,发布日期,时长_秒,播放量,点赞量,评论量,收藏量,完播率,互动率
深度学习入门第1讲：什么是神经网络,2026-03-01,612,128400,8650,420,2310,0.482,0.071
Transformer 架构通俗讲解,2026-03-08,948,256300,19200,1180,5400,0.531,0.089
RAG 检索增强生成实战,2026-03-15,1320,198700,14300,910,6200,0.447,0.082
Agent 到底是什么：从零讲清,2026-03-22,1056,342800,27800,2040,9100,0.569,0.103
LoRA 微调 Qwen2.5 全流程,2026-03-29,1740,156900,9800,560,3300,0.392,0.062
Python 爬虫基础：爬取视频数据,2026-04-05,720,89300,5200,380,1400,0.511,0.058
数据清洗与 Pandas 技巧,2026-04-12,840,112600,7400,460,2100,0.498,0.066
向量数据库 FAISS 原理,2026-04-19,990,174500,12600,720,4800,0.523,0.081
Prompt 工程：让模型更听话,2026-04-26,660,231400,21000,1430,7600,0.544,0.094
MCP 协议：给 LLM 接外设,2026-05-03,1080,267100,20100,990,6700,0.557,0.097
注意力机制 Attention 详解,2026-05-10,1260,309700,24500,1680,8300,0.581,0.101
多模态模型 CLIP 入门,2026-05-17,900,143800,10200,510,2900,0.466,0.069
强化学习 RLHF 入门,2026-05-24,1500,98700,6100,330,1900,0.371,0.055
如何准备大模型面试,2026-05-31,780,289400,23600,1890,9100,0.612,0.112
我的 AI 学习路线复盘,2026-06-07,1140,201300,15900,1240,5800,0.528,0.088
